START: 0xb7fdf1d0
mov eax, esp	0xb7fdf1d0
mov esi, dword ptr [edx+0x4]	0xb7fe2fc9
add ecx, esi	0xb7fe2fcc
mov dword ptr [ebp-0x38], ecx	0xb7fe2fce
mov edx, dword ptr [ebx+0x580]	0xb7fe2fd1
mov edx, dword ptr [edx+0x4]	0xb7fe2fd7
mov dword ptr [ebp-0x3c], edx	0xb7fe2fda
mov edx, dword ptr [ebp-0x30]	0xb7fe2fdd
lea esi, ptr [eax+edx*8]	0xb7fe2fe0
cmp eax, esi	0xb7fe2fe3
jnb 0xb7fe3019	0xb7fe2fe5
cmp byte ptr [eax+0x4], 0x8	0xb7fe2fe7
mov edx, dword ptr [eax]	0xb7fe2feb
jnz 0xb7fe317d	0xb7fe2fed
START: 0xb7fe2ff3
add edx, edi	0xb7fe2ff3
mov ecx, 0x8	0xb7fe2ff5
jmp 0xb7fe3010	0xb7fe2ffa
START: 0xb7fe3010
add eax, 0x8	0xb7fe3010
add dword ptr [edx], edi	0xb7fe3013
cmp esi, eax	0xb7fe3015
jnbe 0xb7fe3000	0xb7fe3017
mov eax, dword ptr [ebx+0x62c]	0xb7fe3019
test eax, eax	0xb7fe301f
jz 0xb7fe31bf	0xb7fe3021
cmp dword ptr [ebp-0x38], esi	0xb7fe3027
lea ecx, ptr [0x548]	0xb7fe302a
lea edx, ptr [ebx-0x9f74]	0xb7fe3030
mov dword ptr [ebp-0x40], ecx	0xb7fe3036
mov dword ptr [ebp-0x4c], edx	0xb7fe3039
jbe 0xb7fe2e26	0xb7fe303c
START: 0xb7fe3000
mov edx, dword ptr [eax+ecx*1-0x8]	0xb7fe3000
add edx, edi	0xb7fe3004
cmp byte ptr [eax+0x4], 0x8	0xb7fe3006
jnz 0xb7fe317d	0xb7fe300a
add eax, 0x8	0xb7fe3010
add dword ptr [edx], edi	0xb7fe3013
cmp esi, eax	0xb7fe3015
jnbe 0xb7fe3000	0xb7fe3017
mov eax, dword ptr [ebx+0x62c]	0xb7fe3019
test eax, eax	0xb7fe301f
jz 0xb7fe31bf	0xb7fe3021
START: 0xb7fe3027
cmp dword ptr [ebp-0x38], esi	0xb7fe3027
lea ecx, ptr [0x548]	0xb7fe302a
lea edx, ptr [ebx-0x9f74]	0xb7fe3030
mov dword ptr [ebp-0x40], ecx	0xb7fe3036
mov dword ptr [ebp-0x4c], edx	0xb7fe3039
jbe 0xb7fe2e26	0xb7fe303c
mov dword ptr [ebp-0x44], edi	0xb7fe3042
lea esi, ptr [esi]	0xb7fe3045
mov eax, dword ptr [esi+0x4]	0xb7fe3048
mov ecx, dword ptr [ebp-0x40]	0xb7fe304b
mov edx, dword ptr [ebp-0x44]	0xb7fe304e
add edx, dword ptr [esi]	0xb7fe3051
mov edi, eax	0xb7fe3053
and eax, 0xff	0xb7fe3055
shr edi, 0x8	0xb7fe305a
shl edi, 0x4	0xb7fe305d
add edi, dword ptr [ebp-0x3c]	0xb7fe3060
mov dword ptr [ebp-0x30], eax	0xb7fe3063
mov eax, dword ptr [edi+0x4]	0xb7fe3066
add eax, dword ptr [ecx+ebx*1]	0xb7fe3069
movzx ecx, byte ptr [edi+0xc]	0xb7fe306c
and ecx, 0xf	0xb7fe3070
cmp ecx, 0xa	0xb7fe3073
jz 0xb7fe31a7	0xb7fe3076
mov ecx, dword ptr [ebp-0x30]	0xb7fe307c
sub ecx, 0x6	0xb7fe307f
cmp ecx, 0x23	0xb7fe3082
jnbe 0xb7fe30c2	0xb7fe3085
START: 0xb7fe3087
mov ecx, dword ptr [ebx+ecx*4-0x83d8]	0xb7fe3087
add ecx, ebx	0xb7fe308e
jmp ecx	0xb7fe3090
START: 0xb7fe30c0
mov dword ptr [edx], eax	0xb7fe30c0
add esi, 0x8	0xb7fe30c2
cmp dword ptr [ebp-0x38], esi	0xb7fe30c5
jnbe 0xb7fe3048	0xb7fe30c8
jmp 0xb7fe2e26	0xb7fe30ce
START: 0xb7fe3048
mov eax, dword ptr [esi+0x4]	0xb7fe3048
mov ecx, dword ptr [ebp-0x40]	0xb7fe304b
mov edx, dword ptr [ebp-0x44]	0xb7fe304e
add edx, dword ptr [esi]	0xb7fe3051
mov edi, eax	0xb7fe3053
and eax, 0xff	0xb7fe3055
shr edi, 0x8	0xb7fe305a
shl edi, 0x4	0xb7fe305d
add edi, dword ptr [ebp-0x3c]	0xb7fe3060
mov dword ptr [ebp-0x30], eax	0xb7fe3063
mov eax, dword ptr [edi+0x4]	0xb7fe3066
add eax, dword ptr [ecx+ebx*1]	0xb7fe3069
movzx ecx, byte ptr [edi+0xc]	0xb7fe306c
and ecx, 0xf	0xb7fe3070
cmp ecx, 0xa	0xb7fe3073
jz 0xb7fe31a7	0xb7fe3076
mov ecx, dword ptr [ebp-0x30]	0xb7fe307c
sub ecx, 0x6	0xb7fe307f
cmp ecx, 0x23	0xb7fe3082
jnbe 0xb7fe30c2	0xb7fe3085
mov ecx, dword ptr [ebx+ecx*4-0x83d8]	0xb7fe3087
add ecx, ebx	0xb7fe308e
jmp ecx	0xb7fe3090
START: 0xb7fe2e26
mov eax, dword ptr [ebx-0x1d0]	0xb7fe2e26
or byte ptr [ebx+0x6dc], 0x4	0xb7fe2e2c
or eax, dword ptr [ebx-0x1d4]	0xb7fe2e33
jnz 0xb7fe2e97	0xb7fe2e39
mov ecx, 0x5	0xb7fe2e3b
mov esi, 0xffffffff	0xb7fe2e40
mov edi, 0xffffffff	0xb7fe2e45
mov dword ptr [ebp-0x30], 0xffffffff	0xb7fe2e4a
mov dword ptr [ebp-0x2c], 0xffffffff	0xb7fe2e51
jmp 0xb7fe2e66	0xb7fe2e58
START: 0xb7fe2e66
rdtsc 	0xb7fe2e66
mov dword ptr [ebp-0x38], eax	0xb7fe2e68
mov dword ptr [ebp-0x34], edx	0xb7fe2e6b
rdtsc 	0xb7fe2e6e
sub eax, dword ptr [ebp-0x38]	0xb7fe2e70
sbb edx, dword ptr [ebp-0x34]	0xb7fe2e73
cmp dword ptr [ebp-0x2c], edx	0xb7fe2e76
jnbe 0xb7fe2e82	0xb7fe2e79
jb 0xb7fe2e86	0xb7fe2e7b
cmp dword ptr [ebp-0x30], eax	0xb7fe2e7d
jbe 0xb7fe2e86	0xb7fe2e80
START: 0xb7fe2e82
mov esi, eax	0xb7fe2e82
mov edi, edx	0xb7fe2e84
sub ecx, 0x1	0xb7fe2e86
jnz 0xb7fe2e60	0xb7fe2e89
mov dword ptr [ebx-0x1d4], esi	0xb7fe2e8b
mov dword ptr [ebx-0x1d0], edi	0xb7fe2e91
lea eax, ptr [ebx+0x548]	0xb7fe2e97
call 0xb7fe8c30	0xb7fe2e9d
START: 0xb7fe2e60
mov dword ptr [ebp-0x30], esi	0xb7fe2e60
mov dword ptr [ebp-0x2c], edi	0xb7fe2e63
rdtsc 	0xb7fe2e66
mov dword ptr [ebp-0x38], eax	0xb7fe2e68
mov dword ptr [ebp-0x34], edx	0xb7fe2e6b
rdtsc 	0xb7fe2e6e
sub eax, dword ptr [ebp-0x38]	0xb7fe2e70
sbb edx, dword ptr [ebp-0x34]	0xb7fe2e73
cmp dword ptr [ebp-0x2c], edx	0xb7fe2e76
jnbe 0xb7fe2e82	0xb7fe2e79
jb 0xb7fe2e86	0xb7fe2e7b
cmp dword ptr [ebp-0x30], eax	0xb7fe2e7d
jbe 0xb7fe2e86	0xb7fe2e80
START: 0xb7fe2e86
sub ecx, 0x1	0xb7fe2e86
jnz 0xb7fe2e60	0xb7fe2e89
mov dword ptr [ebx-0x1d4], esi	0xb7fe2e8b
mov dword ptr [ebx-0x1d0], edi	0xb7fe2e91
lea eax, ptr [ebx+0x548]	0xb7fe2e97
call 0xb7fe8c30	0xb7fe2e9d
START: 0xb7fe8c30
sub esp, 0x2c	0xb7fe8c30
mov edx, dword ptr [eax+0x14c]	0xb7fe8c33
mov dword ptr [esp+0x1c], ebx	0xb7fe8c39
call 0xb7ff6bab	0xb7fe8c3d
START: 0xb7ff6bab
mov ebx, dword ptr [esp]	0xb7ff6bab
ret 	0xb7ff6bae
START: 0xb7fe8c42
add ebx, 0x163b2	0xb7fe8c42
mov dword ptr [esp+0x20], esi	0xb7fe8c48
test edx, edx	0xb7fe8c4c
mov dword ptr [esp+0x24], edi	0xb7fe8c4e
mov dword ptr [esp+0x28], ebp	0xb7fe8c52
jz 0xb7fe8cb3	0xb7fe8c56
mov edx, dword ptr [edx+0x4]	0xb7fe8c58
mov edi, dword ptr [edx]	0xb7fe8c5b
mov dword ptr [eax+0x178], edi	0xb7fe8c5d
mov ecx, dword ptr [edx+0x8]	0xb7fe8c63
mov esi, dword ptr [edx+0x4]	0xb7fe8c66
lea ebp, ptr [ecx-0x1]	0xb7fe8c69
test ebp, ecx	0xb7fe8c6c
jnz 0xb7fe8cd9	0xb7fe8c6e
mov dword ptr [eax+0x17c], ebp	0xb7fe8c70
mov ebp, dword ptr [edx+0xc]	0xb7fe8c76
add edx, 0x10	0xb7fe8c79
mov dword ptr [eax+0x184], edx	0xb7fe8c7c
lea edx, ptr [edx+ecx*4]	0xb7fe8c82
mov dword ptr [eax+0x188], edx	0xb7fe8c85
shl esi, 0x2	0xb7fe8c8b
lea edx, ptr [edx+edi*4]	0xb7fe8c8e
sub edx, esi	0xb7fe8c91
mov dword ptr [eax+0x180], ebp	0xb7fe8c93
mov dword ptr [eax+0x18c], edx	0xb7fe8c99
mov ebx, dword ptr [esp+0x1c]	0xb7fe8c9f
mov esi, dword ptr [esp+0x20]	0xb7fe8ca3
mov edi, dword ptr [esp+0x24]	0xb7fe8ca7
mov ebp, dword ptr [esp+0x28]	0xb7fe8cab
add esp, 0x2c	0xb7fe8caf
ret 	0xb7fe8cb2
START: 0xb7fe2ea2
lea eax, ptr [ebx+0x548]	0xb7fe2ea2
mov dword ptr [ebx+0x55c], eax	0xb7fe2ea8
lea eax, ptr [ebx-0x20ff4]	0xb7fe2eae
mov dword ptr [ebx+0x6f4], eax	0xb7fe2eb4
lea eax, ptr [ebx+0x924]	0xb7fe2eba
mov dword ptr [ebx+0x6f8], eax	0xb7fe2ec0
lea eax, ptr [ebx-0x8445]	0xb7fe2ec6
mov dword ptr [ebx+0x6fc], eax	0xb7fe2ecc
rdtsc 	0xb7fe2ed2
mov dword ptr [ebx+0x52c], eax	0xb7fe2ed4
lea eax, ptr [ebx-0x1f014]	0xb7fe2eda
mov dword ptr [esp+0x4], eax	0xb7fe2ee0
mov eax, dword ptr [ebp-0x48]	0xb7fe2ee4
mov dword ptr [ebx+0x530], edx	0xb7fe2ee7
mov dword ptr [ebx-0xe4], ebp	0xb7fe2eed
mov dword ptr [esp], eax	0xb7fe2ef3
call 0xb7ff2780	0xb7fe2ef6
START: 0xb7ff2780
push ebp	0xb7ff2780
push edi	0xb7ff2781
push esi	0xb7ff2782
push ebx	0xb7ff2783
sub esp, 0x6c	0xb7ff2784
mov eax, dword ptr [esp+0x80]	0xb7ff2787
call 0xb7ff6bab	0xb7ff278e
START: 0xb7ff6bab
mov ebx, dword ptr [esp]	0xb7ff6bab
ret 	0xb7ff6bae
START: 0xb7ff2793
add ebx, 0xc861	0xb7ff2793
mov edx, dword ptr [eax]	0xb7ff2799
mov dword ptr [ebx-0xe4], eax	0xb7ff279b
add eax, 0x4	0xb7ff27a1
mov dword ptr [ebx-0x184], edx	0xb7ff27a4
lea edx, ptr [eax+edx*4+0x4]	0xb7ff27aa
mov dword ptr [ebx-0x188], eax	0xb7ff27ae
mov dword ptr [ebx+0x908], edx	0xb7ff27b4
mov esi, dword ptr [edx]	0xb7ff27ba
test esi, esi	0xb7ff27bc
jz 0xb7ff27c9	0xb7ff27be
add edx, 0x4	0xb7ff27c0
mov ecx, dword ptr [edx]	0xb7ff27c3
test ecx, ecx	0xb7ff27c5
jnz 0xb7ff27c0	0xb7ff27c7
mov ecx, dword ptr [edx+0x4]	0xb7ff27c9
lea eax, ptr [edx+0x4]	0xb7ff27cc
xor edi, edi	0xb7ff27cf
lea esi, ptr [ebx-0x1fe24]	0xb7ff27d1
mov dword ptr [ebx-0xdc], eax	0xb7ff27d7
mov dword ptr [esp+0x5c], esi	0xb7ff27dd
test ecx, ecx	0xb7ff27e1
mov dword ptr [ebx-0x34c], 0x0	0xb7ff27e3
mov dword ptr [esp+0x24], 0x0	0xb7ff27ed
jz 0xb7ff2912	0xb7ff27f5
START: 0xb7ff27c0
add edx, 0x4	0xb7ff27c0
mov ecx, dword ptr [edx]	0xb7ff27c3
test ecx, ecx	0xb7ff27c5
jnz 0xb7ff27c0	0xb7ff27c7
mov ecx, dword ptr [edx+0x4]	0xb7ff27c9
lea eax, ptr [edx+0x4]	0xb7ff27cc
xor edi, edi	0xb7ff27cf
lea esi, ptr [ebx-0x1fe24]	0xb7ff27d1
mov dword ptr [ebx-0xdc], eax	0xb7ff27d7
mov dword ptr [esp+0x5c], esi	0xb7ff27dd
test ecx, ecx	0xb7ff27e1
mov dword ptr [ebx-0x34c], 0x0	0xb7ff27e3
mov dword ptr [esp+0x24], 0x0	0xb7ff27ed
jz 0xb7ff2912	0xb7ff27f5
mov edi, dword ptr [ebx-0x344]	0xb7ff27fb
mov ebp, dword ptr [ebx-0xe0]	0xb7ff2801
mov dword ptr [esp+0x38], esi	0xb7ff2807
mov esi, dword ptr [ebx-0x318]	0xb7ff280b
mov dword ptr [esp+0x30], 0x0	0xb7ff2811
mov dword ptr [esp+0x3c], edi	0xb7ff2819
mov edi, dword ptr [ebx-0x314]	0xb7ff281d
mov dword ptr [esp+0x34], ebp	0xb7ff2823
movzx ebp, word ptr [ebx-0x320]	0xb7ff2827
mov dword ptr [esp+0x28], esi	0xb7ff282e
mov esi, dword ptr [ebx-0x1c8]	0xb7ff2832
mov dword ptr [esp+0x2c], edi	0xb7ff2838
mov edi, dword ptr [ebx-0x338]	0xb7ff283c
mov word ptr [esp+0x46], bp	0xb7ff2842
xor ebp, ebp	0xb7ff2847
mov dword ptr [esp+0x48], esi	0xb7ff2849
lea esi, ptr [edx+0xc]	0xb7ff284d
mov dword ptr [esp+0x1c], ebp	0xb7ff2850
mov dword ptr [esp+0x40], edi	0xb7ff2854
mov edi, dword ptr [ebx-0xe8]	0xb7ff2858
mov dword ptr [esp+0x4c], edi	0xb7ff285e
xor edi, edi	0xb7ff2862
mov dword ptr [esp+0x20], edi	0xb7ff2864
sub ecx, 0x3	0xb7ff2868
cmp ecx, 0x1e	0xb7ff286b
jnbe 0xb7ff2888	0xb7ff286e
START: 0xb7ff2870
mov ecx, dword ptr [ebx+ecx*4-0x7af4]	0xb7ff2870
add ecx, ebx	0xb7ff2877
jmp ecx	0xb7ff2879
START: 0xb7ff29f8
mov edi, dword ptr [eax+0x4]	0xb7ff29f8
add eax, 0x8	0xb7ff29fb
mov ecx, eax	0xb7ff29fe
sub ecx, edx	0xb7ff2a00
mov ecx, dword ptr [esi+ecx*1-0xc]	0xb7ff2a02
mov dword ptr [esp+0x1c], edi	0xb7ff2a06
test ecx, ecx	0xb7ff2a0a
jnz 0xb7ff2868	0xb7ff2a0c
jmp 0xb7ff2898	0xb7ff2a12
START: 0xb7ff2868
sub ecx, 0x3	0xb7ff2868
cmp ecx, 0x1e	0xb7ff286b
jnbe 0xb7ff2888	0xb7ff286e
mov ecx, dword ptr [ebx+ecx*4-0x7af4]	0xb7ff2870
add ecx, ebx	0xb7ff2877
jmp ecx	0xb7ff2879
START: 0xb7ff2998
mov ebp, dword ptr [eax+0x4]	0xb7ff2998
add eax, 0x8	0xb7ff299b
mov ecx, eax	0xb7ff299e
sub ecx, edx	0xb7ff29a0
mov ecx, dword ptr [esi+ecx*1-0xc]	0xb7ff29a2
mov dword ptr [esp+0x48], ebp	0xb7ff29a6
test ecx, ecx	0xb7ff29aa
jnz 0xb7ff2868	0xb7ff29ac
jmp 0xb7ff2898	0xb7ff29b2
START: 0xb7ff2a60
mov edi, dword ptr [eax+0x4]	0xb7ff2a60
add eax, 0x8	0xb7ff2a63
xor ebp, ebp	0xb7ff2a66
mov ecx, eax	0xb7ff2a68
sub ecx, edx	0xb7ff2a6a
mov ecx, dword ptr [esi+ecx*1-0xc]	0xb7ff2a6c
mov dword ptr [esp+0x28], edi	0xb7ff2a70
mov dword ptr [esp+0x2c], ebp	0xb7ff2a74
test ecx, ecx	0xb7ff2a78
jnz 0xb7ff2868	0xb7ff2a7a
jmp 0xb7ff2898	0xb7ff2a80
START: 0xb7ff2ac8
mov edi, dword ptr [eax+0x4]	0xb7ff2ac8
add eax, 0x8	0xb7ff2acb
mov ecx, eax	0xb7ff2ace
sub ecx, edx	0xb7ff2ad0
mov ecx, dword ptr [esi+ecx*1-0xc]	0xb7ff2ad2
mov dword ptr [esp+0x3c], edi	0xb7ff2ad6
test ecx, ecx	0xb7ff2ada
jnz 0xb7ff2868	0xb7ff2adc
jmp 0xb7ff2898	0xb7ff2ae2
START: 0xb7ff2a40
mov ebp, dword ptr [eax+0x4]	0xb7ff2a40
add eax, 0x8	0xb7ff2a43
mov ecx, eax	0xb7ff2a46
sub ecx, edx	0xb7ff2a48
mov ecx, dword ptr [esi+ecx*1-0xc]	0xb7ff2a4a
mov dword ptr [esp+0x40], ebp	0xb7ff2a4e
test ecx, ecx	0xb7ff2a52
jnz 0xb7ff2868	0xb7ff2a54
jmp 0xb7ff2898	0xb7ff2a5a
START: 0xb7ff2880
mov ebp, dword ptr [eax+0x4]	0xb7ff2880
mov dword ptr [esp+0x24], ebp	0xb7ff2883
nop 	0xb7ff2887
add eax, 0x8	0xb7ff2888
mov ecx, eax	0xb7ff288b
sub ecx, edx	0xb7ff288d
mov ecx, dword ptr [esi+ecx*1-0xc]	0xb7ff288f
test ecx, ecx	0xb7ff2893
jnz 0xb7ff2868	0xb7ff2895
nop 	0xb7ff2897
mov eax, dword ptr [esp+0x38]	0xb7ff2898
mov edx, dword ptr [esp+0x34]	0xb7ff289c
mov esi, dword ptr [esp+0x3c]	0xb7ff28a0
mov ecx, dword ptr [esp+0x30]	0xb7ff28a4
mov dword ptr [esp+0x5c], eax	0xb7ff28a8
mov eax, dword ptr [esp+0x28]	0xb7ff28ac
mov dword ptr [ebx-0xe0], edx	0xb7ff28b0
mov edx, dword ptr [esp+0x2c]	0xb7ff28b6
mov ebp, dword ptr [esp+0x1c]	0xb7ff28ba
